|text|labels
1275|what year did bounty mutiny happen|4
1276|what is only substance gives food its taste when eaten|1
1277|how do you reference website|0
1278|what is pandoro|0
1279|what do letters zip stand phrase zip code|2
1280|bourbon king was restored french throne during napoleon 's abdication|3
1281|what is one cities university minnesota is located|5
1282|what are words my way written paul anka|0
1283|how do install tile floor|0
1284|what is quickest easiest way get nail polish out clothes|1
1285|why was zipper invented|0
1286|what 's no. killer industrialized countries|1
1287|name four famous cartoon cats|1
1288|what daughter henry viii anne boleyn became queen england|3
1289|how did stat come be used as expression quickly|0
1290|what 's most common nickname u.s. college football teams|3
1291|what 's distinction u.s. supreme court justice thurgood marshall|0
1292|what is most useful site internet|5
1293|what is world 's highest peak|5
1294|what was mae west world war ii battleship|0
1295|define cosmology|0
1296|what comedienne upstaged dwight d. eisenhower 's first inauguration giving birth her first child|3
1297|what are amicable numbers|0
1298|when were olympic games nadia comaneci became popular played|4
1299|where is hearst castle built publisher william randolph hearst|5
1300|what 's largest u.s. city great lakes|5
1301|who sang about desmond molly jones|3
1302|what magazine gives us cream not skim|1
1303|what does technique called cold fusion produce|1
1304|what costume designer decided michael jackson should only wear one glove|3
1305|what meter did shakespeare use writing be or not be is question..|1
1306|how many rows sprocket holes does roll 35 millimeter film have|4
1307|what is goat population world|4
1308|what company was original sponsor tv 's superman|3
1309|what term does czech use describe pole|1
1310|what sea separates naples algiers|5
1311|how many lawyers are there state new jersey|4
1312|what are most common elements seawater|1
1313|describe finnish music personality salonen 's appearance|0
1314|what is origin ethnic category caucasian|0
1315|what is stratocaster|0
1316|what kind science is cosmology|1
1317|name blind sculptress love fantastic four 's thing|3
1318|what 's second lightest element|1
1319|what do you call twirl ballet|1
1320|what is brand name daminozide|1
1321|what is former name zimbabwe|1
1322|what national basketball association superstar told his story giant steps|3
1323|what animals did amazing three masquerade as|1
1324|how did bikini bathing suite get its name|0
1325|when did fraze get his first patent pull tab can|4
1326|how many games are played five team round robin tournament|4
1327|who developed first polio vaccine|3
1328|who made first gas engine|3
1329|what country claimed rubens van dyck bruegel as citizens|5
1330|what civil war was fought between 1936 1939|1
1331|how many questions do you have your database|4
1332|how do clouds form|0
1333|where can find examples legal cases about individuals disabilities education act|5
1334|what character did tex avery first create upon arriving at mgm|3
1335|when was triangle shirtwaist fire|4
1336|what asian spiritual political leader was married at age 13|3
1337|where is ocho rios|5
1338|what is half life 32|0
1339|what ocean does mauritania border|5
1340|why do pressure cookers save time kitchen|0
1341|why are there 12 people jury criminal cases|0
1342|what do christian scientists believe|0
1343|what world war battle saw troops killed one day|1
1344|what country is kosovo part|5
1345|tell me what city kentucky horse park is near|5
1346|what computer operating system is most computers|1
1347|what is bill gross 's email address|5
1348|what is economic impact unemployment economy|0
1349|what do letters d.c. stand washington d.c.|2
1350|what animals can live longest without food|1
1351|what english queen had seventeen children|3
1352|what is approximate population las vegas n.m|4
1353|how much does president get paid|4
1354|what two baseball players make up battery|3
1355|what 's largest letter salvador dali 's signature|1
1356|what does irate car owner call iron oxide|1
1357|children between ages two eleven what percentage watch simpsons|4
1358|what 's northernmost u.s. state apart alaska|5
1359|name art gallery new york|5
1360|who sells viagra|3
1361|what musical instrument did prewitt play james jones 's here eternity|1
1362|what is home rule act|0
1363|what building are british monarchs crowned|5
1364|what are bellworts|0
1365|who was darius|3
1366|what movie told anna anderson 's claim be russian czar 's daughter|1
1367|who did dita beard work|3
1368|what kind creature is coot|1
1369|name university woodrow wilson was president|3
1370|what country was first use airplane as weapon war against turks libya|5
1371|what university was woodrow wilson president|3
1372|what is fear disease|1
1373|what kind meat is fray bentos synonymous|1
1374|what did mr. magoo flog tv general electric|1
1375|what are words canadian national anthem|0
1376|what is name jewish alphabet|1
1377|who served as inspiration schoolteacher portrayed robin williams dead poets society|3
1378|what is columbia tristar 's phone number|4
1379|name five positions who are line succession presidency|3
1380|one original seven mercury program astronauts did not fly any mercury flights|3
1381|who is best known villain 165 gunpowder plot|3
1382|what is capital burkina faso|5
1383|what continent is bolivia|5
1384|why was muhammad ali stripped his title barred boxing 1967|0
1385|who killed more people hitler or stalin|3
1386|what caused shea gould close their l.a. office|0
1387|what 's only mammal can 't jump|1
1388|what u.s. state has most blondes|5
1389|what war saw battles at parrot 's beak black virgin|1
1390|what was u.s. highway death toll 1969|4
1391|what does name kelly mean|0
1392|what is phalanx|0
1393|what mustachioed comedian portrayed frankie north alaska|3
1394|what does each utilities cost monopoly|4
1395|what actor world war ii airman had bounty put his head hermann goering|3
1396|what does e.g. stand|2
1397|what is name medical condition baby is born without brain|1
1398|how do storms form|0
1399|who is nicolo paganini|3
1400|what city is often called insurance capital world|5
1401|what are three animals sheila burnford 's incredible journey|1
1402|who portrayed dracula hammer studios films|3
1403|name one seven wonders ancient world|1
1404|when were fish first believed be found earth|4
1405|what president 's favorite biblical quotation was come now let us reason together|3
1406|how many elevators do you ride reach top floor empire state building|4
1407|name food company traveled soviet georgia film series ads|3
1408|what country was sir edmund hillary born|5
1409|what 's infant seal called|1
1410|what was proper laugh respones say goodnight dick|0
1411|what city was john f. kennedy nominated president|5
1412|how long does dog sleep|4
1413|what 1963 joseph l. mankiewicz film cost 28 million|1
1414|what japanese electronics company was named coastal city northeast tokyo|3
1415|what can you be fined having dog beach|4
1416|where did battle bulge take place|5
1417|how much will california be year 2000|4
1418|what mystery writer penned ...the glory was greece grandeur was rome|3
1419|what state full milk honey was destination grapes wrath|5
1420|what is tallest building japan|5
1421|where is sinn fein 's headquarters|5
1422|name li 'l abner 's favorite indian drink|1
1423|what are some important events 1830 's|1
1424|iraqis launched their attack kuwait what day|4
1425|what letter adorns flag rwanda|1
1426|what did cd nns vbp vb nnp pos nn|1
1427|what is god|0
1428|what country 's northernmost city is darwin|5
1429|what sound does olympia washington overlook|5
1430|what tv show chronicled lives katy holstrum congressman glen morley|1
1431|what kentucky city calls itself horse center america|5
1432|how many penny farthings are there trivial pursuit game board|4
1433|what 's most abundant element sun|1
1434|what european country boasts city furth found where rivers rednitz pegnitz converge|5
1435|what u.s. state is dixville notch|5
1436|where was cisalpine republic 1797 185|5
1437|what is largest shopping mall world|5
1438|what is protagonist 's name dostoevski 's idiot|3
1439|what penalty space lies between baltic avenue reading railroad monopoly board|1
1440|what presidential press secretary dismissed watergate as third rate burglary attempt|3
1441|what is meerkat|0
1442|who was jean nicolet|3
1443|what kind animal was winnie pooh|1
1444|these are authors|3
1445|what 's international radio code word letter|1
1446|who was original humpty dumpty|3
1447|what is cache memory|0
1448|aspartame is also known as what|1
1449|where is location orange bowl|5
1450|when is president nixon 's birthday|4
1451|what is origin midwest slang you 're darn tootin|0
1452|whose cupboard was bare|3
1453|what are seven seas|5
1454|what does ibm stand|2
1455|what is difference between jazz blues|0
1456|what is programming language|0
1457|what 's name popeye 's adopted son|3
1458|who invented vacuum cleaner|3
1459|what is borrow pit|0
1460|what 2th century fictional character attends pencey prep school|3
1461|how many people usa say their number one source information is newspaper|4
1462|who does shakespeare 's antonio borrow ducats|3
1463|country is known as big bear|5
1464|what melts your mouth not your hands|1
1465|how many times day should you take prescription marked q.i.d|4
1466|what is origin atom|0
1467|who is voyager project manager|3
1468|radio stations air jim bohannon radio talk show|3
1469|what two commanders directed forces battle el alamein|3
1470|name creator muppets|3
1471|how do mail someone at aol.com yahoo.com|0
1472|who replies know princess leia 's confession love you empire strikes back|3
1473|what is meaning name ella|0
1474|what 's home rockettes|5
1475|where can find all information need know about english civil war 1642 1649|5
1476|what is name firm makes spumante|3
1477|what sport is played largest field|1
1478|who won 1967 academy award best actor|3
1479|what is after death|1
1480|name first private citizen fly space|3
1481|what was football star elroy hirsch 's nickname|3
1482|what singer sings oh boy|3
1483|how much pizza do americans eat day|4
1484|what is website usa journal|5
1485|what army 's motto is blood fire|3
1486|what kind patent did ermal fraze get 1963|1
1487|what are you hearing when you put seashell your ear|0
1488|why are haunted houses popular|0
1489|gender has bigger thighs|1
1490|what u.s. state has second longest coastline|5
1491|what state 's home buffalo bill historical center|5
1492|how fast do cheetahs run|4
1493|what is ray bradbury 's illustrated man illustrated|1
1494|how fast is 45mhz processor|4
1495|what kind puzzle first appeared u.s. new york world december 21 1913|1
1496|what count did alexandre dumas write about|3
1497|what are odds giving birth twins|4
1498|what is largest natural lake pennsylvania|5
1499|how far is london uk california|4
1500|name two mystical ravens odin has at his command|1
1501|what was species winnie pooh|1
1502|what is virus hiv|0
1503|how many years old is benny carter|4
1504|what hermann hesse book gave its name rock group|1
1505|where does santa fe trail begin end|5
1506|what book is follow up future shock|1
1507|what african animals are known as big five|1
1508|what is alphabet latin|1
1509|what is fear frogs|1
1510|city canada is least populated|5
1511|how old is stevie wonder|4
1512|who was first taiwanese president|3
1513|who is luke skywalker 's father|3
1514|what does dipsomaniac crave|1
1515|what is definition term weapons system|0
1516|what are christopher marlowe 's shakespeare 's literary contributions english literature|0
1517|what is nero wolfe 's favorite drink during office hours|1
1518|what is first personal computer company|3
1519|what is most efficient way start barbeque|1
1520|who was jane goodall|3
1521|why are there braille things atm machines people drive through|0
1522|where is isle man|5
1523|what book did aaron hass write|1
1524|what was death toll at eruption mount pinatubo|4
1525|when will millennium officially begin|4
1526|who created comic strip garfield|3
1527|vietnamese terrorist is now un delegate doonesbury|3
1528|what is real time processing|0
1529|what do we call imaginary line along top rocky mountains|5
1530|what country 's capital is lagos|5
1531|where does ray bradbury 's chronicles take place|5
1532|who is current prime minister president russia|3
1533|who established viking colony greenland about 985|3
1534|what was distinguishing mark little rascals dog|1
1535|what is latitude longitude el paso texas|4
1536|where can get information about cystic fibrosis|5
1537|where did honecker rule|5
1538|what is theory equivalence states|0
1539|what does philatelist collect|1
1540|what is life span average monkey|4
1541|how many member states are un|4
1542|who shot killed himself while painting wheatfield crows|3
1543|what will happen when sodium is put water|0
1544|what 's meaning uol|0
1545|what future president became senate majority whip under harry truman|3
1546|who was architect central park|3
1547|operating system runs ibm compatible machines|1
1548|what are dimensions ice hockey goal|4
1549|when was cnn 's first broadcast|4
1550|what are signs country going into recession|1
1551|what is circumorbital hematoma|0
1552|what african country is governed ouagadougou|5
1553|what was christian name title character our miss brooks|3
1554|what hard hearing artist painted sunflowers|3
1555|who were yankee 's frequent enemies|3
1556|who wrote sons lovers|3
1557|what is english translation word caliente|1
1558|what handicraft requires you interlace your warp weft|1
1559|what french seaport claims be home wines|5
1560|how long does it take sunlight reach earth|4
1561|how many milliseconds second|4
1562|what cherokee indian gave his name tree|3
1563|when were camcorders introduced malaysia|4
1564|what is chance conceiving quadruplets|4
1565|who was star leave it beaver|3
1566|what countries have largest armed forces world|5
1567|what was william f. cody 's better known name|3
1568|how do increase my biceps size|0
1569|who did richard nixon tender his resignation|3
1570|who was thucydides|3
1571|how is element strontium purified|0
1572|following rock 'n roll stars has star hollywood boulevard|3
1573|what are tonsils|0
1574|what molecules include fluorine sodium magnesium|1
1575|what was name ball game played mayans|1
1576|what was sequel moon 's balloon|1
1577|what is exchange rate australian american money|4
1578|what is origin word posh|0
1579|how can anyone tell if female had sexual intercourse|0
1580|how many states did richard nixon carry 1972|4
1581|what basketball maneuver did bert loomis invent|1
1582|what is good book read people who hate read|1
1583|how many shillings more than were there guinea|4
1584|what does tarantula eat|1
1585|what are three secondary colors|1
1586|what does name sabrina mean|0
1587|who took over as conductor boston pops after arthur fiedler 's long reign|3
1588|what were trials called followed world war ii|1
1589|what is hebephrenia|0
1590|what nazi leader killed himself jail just before he was be executed as war criminal|3
1591|what famous events have happened march 27|1
1592|company claimed be world 's biggest toy store|3
1593|what brand number graces black label bottle jack daniel 's|4
1594|what do call sons daughters my first cousins|1
1595|what were causes civil war|0
1596|what are maid rites|0
1597|what city is terrorized dracula night stalker|5
1598|how can you prevent it|0
1599|what do names andrew christina mean|0
1600|what chocolate bar created frank mars his wife is often called milky way peanuts|1
1601|who is fastest guitarist|3
1602|what do camels store their humps|1
1603|what is name second space shuttle|1
1604|what is best hospital orthopedics country|5
1605|what are perfect tenses|0
1606|what is commonly considered fifth sense|0
1607|what was another name east germany|1
1608|what 's second biggest selling magazine america|1
1609|who betrayed norway nazis|3
1610|who took toys donated doodyville orphans fund kept them himself|3
1611|what is bourdon tube|0
1612|what kind sports team is wisconsin badgers|1
1613|who were picts|3
1614|what do caroll baker tammy grimes debbie reynolds judy garland all have common|0
1615|what is film noir|0
1616|who is stationed at camp swampy comic strips|3
1617|what year did china republic korea establish diplomatic relations|4
1618|what causes tuberculosis|0
1619|how tall is giraffe|4
1620|what actor dressed up as santa claus had once year affair actress shelley winters every christmas many years|3
1621|what animal was heat seeking missile called sidewinder named|1
1622|how long did it take stanley find livingstone|4
1623|how much nation 's children between ages two eleven watch simpsons|4
1624|what lake is sheboygan|5
1625|what are baseball team 's firemen|0
1626|what is fear color|1
1627|what nantucket shipwreck killed more divers exploring it than 52 people it sank|1
1628|what are two largest birds earth|1
1629|name four stories contained edith wharton 's old new york|1
1630|what is largest lake north america|5
1631|how many people died because smoking problem 1997|4
1632|what is chronic constipation symptom|1
1633|who wrote look love after viewing ursula andress|3
1634|what is name american swimmer who won seven gold medals 1972 olympics|3
1635|who claims have greatest show earth|3
1636|what is head start|0
1637|what honeymooners actress did television magazine name as 1953 's most promising star|3
1638|why can 't women serve navy board submarines|0
1639|what did yalta conference lead|1
1640|what dog was dubbed mortgage lifter|1
1641|what is saltpeter|0
1642|what 's difference between j.d. ll.m.|0
1643|what kind organization is last chance animals|3
1644|what was role medieval guild|3
1645|silly putty was invented whom|3
1646|what should oven be set at baking peachy oat muffins|1
1647|how can someone become federal agent|0
1648|who invented paper clip|3
1649|whom did lauren bacall marry after her husband humphrey bogart died|3
1650|how many times his 16 year national basketball associaton career was john havlicek member all star team|4
1651|what city or state do most gay men live|5
1652|shea gould had office los angeles how long before closing it|4
1653|what word occurs 46 227 times bible|1
1654|how can you be happy|0
1655|how would someone go about becoming organ donor|0
1656|what year did degas create bronze sculpture fourth position front|4
1657|what composer was awarded medal honor franklin d. roosevelt|3
1658|how many url extensions are there what are they|4
1659|how long after intercourse does it take find out if you are pregnant|4
1660|what does u.s.s.r. stand|2
1661|who created fantastic four hulk thor|3
1662|what is fear gravity|1
1663|who is composer canon major|3
1664|what did 't rocky marciano do his pro boxing career|0
1665|where are all european american eels born|5
1666|who was author novel far madding crowd|3
1667|what is definition graphic details|0
1668|what was america 's recessed filter cigarette|1
1669|what kind dog is scooby doo|1
1670|what is function appendix|0
1671|what department store heir is responsible raising three ton safe underwater wreckage andrea doria|3
1672|sex is twice as likely contract leprosy|1
1673|what was first town be chartered vermont|5
1674|what state has longest great lakes shoreline|5
1675|what u.s. state ends|5
1676|how many varieties twins are there|4
1677|what is cartesian diver|0
1678|what are largest libraries us|5
1679|how many people live falklands|4
1680|who was camp david named|3
1681|what document did president andrew johnson want copy placed under his head upon his burial|1
1682|who portrayed man without face movie same name|3
1683|what happened dogtown 1899 make year remembered|0
1684|what wheel did blaise pascal invent search perpetual motion|1
1685|how much money was minimum wage 1991|4
1686|what year was first patent pull tab opener cans obtained|4
1687|what country boasts most dams|5
1688|what is regular price|4
1689|what metropolis landmark was first introduced superman cartoons 1940 's|5
1690|where can one find mozambique|5
1691|how do you recognize anorexia|0
1692|what mary tyler moore show regular came into world as tadeus wladyslaw konopka|1
1693|what city is us declaration independence located|5
1694|what is largest variety cactus|0
1695|who won first world series|3
1696|what did aaron hass write|1
1697|who is samuel pickering|3
1698|what was business animated sky hawks|3
1699|who was credited saying never met man did 't like|3
1700|what overalls are named dungri suburb bombay|1
1701|why do rooftops give off steam after big rainstorm|0
1702|what nationality was jackson pollock|5
1703|how much earth 's surface is permanently frozen|4
1704|what is connection between new krypton daxam|1
1705|when was queen victoria born|4
1706|how many people were executed abraham lincoln 's assassination|4
1707|what must las vegas blackjack dealer do when he reaches 16|0
1708|what is worth seeing reims|5
1709|what type performer is ileana cotrubas|1
1710|when was yemen reunified|4
1711|what line candy products included super skrunch peanut butter oompas|1
1712|why did anglican church split vatican|0
1713|what organization has security council|3
1714|how would find price different organs have been donated|0
1715|what mexican leader was shot dead 1923|3
1716|what does necrosis mean|2
1717|what is magnetar|0
1718|what feud ended marriage kentucky march 21 1891|1
1719|what color is stripe along each side coho salmon|1
1720|what is federal minimum wage|4
1721|mississippi is nicknamed what|1
1722|what are unemployment statistics years 1965 1990|4
1723|where is santa lucia|5
1724|what female painter produced primitives rural new england life|3
1725|what are names two old men who appear serial tv muppets show|3
1726|what war saw battles at parrot 's beak black virgin|1
1727|what should you yell hail taxi madrid|0
1728|what is horsepower shuttle boosters|4
1729|what year did apartheid start|4
1730|who created big ben|3
1731|what city is found city oz|5
1732|what ever happened once popular yale lock company|0
1733|name marvel team loosely based dc 's justice league america|3
1734|what did 16th century aztec athlete get putting rubber ball through ring|1
1735|what populous state covers 49 576 square miles|5
1736|what college football team did knute rockne build into power|3
1737|what state was there 11 million gallon oil spill|5
1738|when did aldous huxley write brave new world|4
1739|what country did ancient romans refer as hibernia|5
1740|what high risk business venture did jimmy greek bet lose|3
1741|what do chefs call master spice|1
1742|what is abbreviation general motors|2
1743|what is devo hat|0
1744|how long was longest hiccup attack|4
1745|what kind weapons were used medieval warfare|1
1746|how many people live tokyo|4
1747|what fruit topped actress was known as brazilian bombshell|3
1748|what are birds descendents|1
1749|when tutankhamun exhibit was display u.s. what moving company transported it|3
1750|kevin costner movie involves sioux indians|1
1751|who played title role my favorite martian|3
1752|how does scientific calculator work|0
1753|what is fear fur|1
1754|who invented game scrabble|3
1755|what part their attire were pothooks cowboys old west|1
1756|when did humans first begin write history seriously|4
1757|why do we have go school|0
1758|what is toulmin logic|0
1759|corgi is kind what|1
1760|what city u.s. experienced most growth recently|5
1761|what is dangling participle|0
1762|what tokyo street glitters famed department stores nightclubs|5
1763|what was average life expectancy during stone age|4
1764|when mighty mouse was conceived what was his original name|3
1765|what is origin peace symbol|0
1766|what group starred movie rock around clock|3
1767|how many u.s. presidents were assassinated during queen victoria 's reign|4
1768|when was first flush toilet invented|4
1769|what is nathan hamill 's role new star wars prequel|3
1770|how many disks does each player have four handed game crokinole|4
1771|how old is sun|4
1772|what percentage children between ages two eleven watch simpsons|4
1773|how can find list fax or email addresses human resource departments massachusetts|0
1774|how do write my congressman|0
1775|how many years ago did led zeppelin release its last album|4
1776|what is term group geese|1
1777|how many people was randy craft convicted killing|4
1778|what was name famous battle between texas mexico|1
1779|what country are you if you woo wu dialect|5
1780|what do you call poker hand five cards same suit|1
1781|what new york yankee was known as iron horse|3
1782|who is considered first lady american stage|3
1783|who penned neither borrower nor lender be|3
1784|what is moxie|0
1785|what was first sam spade novel|1
1786|what song did patti page set people dancing 1950|1
1787|who headed hitler 's infamous gestapo|3
1788|what south american city features exclusive copacabana beach ipanema|5
1789|what german city do italians call monaco bavaria|5
1790|what island group contains jersey guernsey sark herm|5
1791|what is fear strong light|1
1792|what is person called likes fire|3
1793|where was helium first discovered hence its name|5
1794|what is best way overcome fear|1
1795|name south african diamond producer|3
1796|who made musical plea be true your school|3
1797|what french designer declared jean is destructor it is dictator it is destroying creativity. jean must be stopped|3
1798|what season is setting shakespeare 's midsummer night 's dream|4
1799|name band was famous 1960 's|3
1800|what comedian was banned ed sullivan show allegedly making obscene gesture at show 's host|3
1801|what country is setting edgar allan poe 's pit pendulum|5
1802|what apollo 11 astronaut minded store while armstrong aldrin made history|3
1803|what is current ticket fare cairo barbados|4
1804|what is second highest mountain peak world|5
1805|what good little witch is casper 's girlfriend|3
1806|tennessee williams play is one characters killed devoured mob starving children|1
1807|what was nickname frederick holy roman emperor king germany|3
1808|what war did potsdam conference follow|1
1809|what 's most common non contagious disease world|1
1810|what month date year did charles die|4
1811|how many cubic feet space does gallon water occupy|4
1812|what is hair style called new military recruits receive|0
1813|what 's world 's largest cathedral|5
1814|what effects do nitrates have environment|0
1815|what is nitrox diving|0
1816|what three european countries begin letter|5
1817|what happened long march|0
1818|what was name hitler 's unsuccessful attempt overthrow bavarian government munich 1923|1
1819|how can find online spelling|0
1820|how many earthworms are single pasture|4
1821|who made stonehenge|3
1822|what is average hourly rate american workers|4
1823|what sport features snatches clean jerks|1
1824|who 's founder editor national review|3
1825|what year did they build berlin wall|4
1826|who was first governor west virginia|3
1827|what 's world 's longest suspension bridge|5
1828|what asian city boasts world 's biggest bowling alley|5
1829|when will jean aeul publish her next book|4
1830|what famous soldier was born europe died asia was laid rest africa|3
1831|when it 's time relax what one beer stands clear|1
1832|what culture developed idea potlatch|3
1833|what baseball team became minnesota twins|3
1834|what kind guitar did jimi hendrix play|1
1835|what were first three cities have population more than million|5
1836|what constellation contains twins castor pollux|5
1837|how many meters are mile|4
1838|what is gas release event|0
1839|what james michener book is subtitled spanish travels reflections|1
1840|what famed london criminal court was once feudal castle|5
1841|how many milligrams are gram|4
1842|what stringed weapon fires bolt|1
1843|where did he get title|5
1844|where can find large list letter words|5
1845|what is michael jackson 's middle name|3
1846|who was first woman fly solo across atlantic|3
1847|how long is human gestation|4
1848|what does semper fidelis mean|0
1849|what kind suit did true hepcats wear 1942|1
1850|where does mother angelica live|5
1851|how can find out my moon sign|0
1852|why does candle need wick|0
1853|musician ray charles plays what instrument|1
1854|what were three prophecies witches make macbeth|0
1855|what 's population mississippi|4
1856|who started dominos pizza chain|3
1857|what film did steven spielberg 's dog star as main character 's dog|1
1858|what are all different kinds contraceptives|1
1859|how old is jeremy piven|4
1860|what is history yo yos|0
1861|nba players had jersey number|3
1862|what chocolate company gives you one pound kiss|3
1863|how does one correctly pronounce qigong|0
1864|what fossilizes form coprolite|1
1865|how many colored squares are there rubik 's cube|4
1866|where is mayo clinic|5
1867|what caribbean island is sometimes called little england|5
1868|where is amsterdam|5
1869|where can find lyrics song getting married today musical company|5
1870|what 's another word means knows all|1
1871|who is famous movie star who also acted as sewer commissioner provo canyon utah|3
1872|what australian city became home america 's cup|5
1873|aspartame is known what other name|1
1874|what is pasta|0
1875|name randy craft 's lawyer|3
1876|what color is ash|1
1877|what is best distance education university or college|3
1878|what river does grand coulee dam dam|5
1879|how often are quadruplets born|4
1880|how does psorisis disappear|0
1881|how many presidents have died 4th july|4
1882|what three colors are french flag|1
1883|what 's mystery bermuda triangle|0
1884|what are seven wonders world|1
1885|what does cnn stand|2
1886|what is person called likes fire|3
1887|who portrayed vincent van gogh lust life|3
1888|what constitutes adult|1
1889|what is reliable site can download heretic|5
1890|what is neurosurgeon|0
1891|what baseball outcome required nine balls 1879 eight balls 1880 seven balls 1881|1
1892|what are amaretto biscuits|0
1893|what common ailment can 't you catch at north pole|1
1894|what season begins vernal equinox|4
1895|who was known as time master comic books|3
1896|what was name roy rogers 's dog|1
1897|what tv series changed names protect innocent|1
1898|where did cable cars first roll down clay street 1873|5
1899|what is george lucas 's mail address|5
1900|how do give good massage|0
1901|who is father computer|3
1902|what is origin jiggy as getting jiggy it|0
1903|what is origin a.m. p.m.|0
1904|what is definition cosmology|0
1905|what is name dog cracker jack box|1
1906|what are manifest latent function theories|0
1907|what william styron book is about black preacher who leads slave revolt|1
1908|what is chemical symbol nitrogen|1
1909|who said old soldiers never die they just fade away|3
1910|what national league baseball team employed 72 third baseemen its first seasons|3
1911|what are snowballs hot rodder|0
1912|how long were tyrannosaurus rex 's teeth|4
1913|what is origin word ozymandias|0
1914|who 's only man have won olympic decathlon twice|3
1915|what kenyan city is safari center east africa|5
1916|why do men snore|0
1917|what causes rolling thunder|0
1918|what is name miss india 1994|3
1919|what four u.s. states have active volcanoes|5
1920|what 's setting john le carre 's small town germany|0
1921|what does echidna look like|0
1922|what is secret universe|0
1923|who was second man walk moon|3
1924|what major victorian novelist spent as much time working post office as he did writing|3
1925|what caused adjournment 25th anniversary session united nations general assembly|0
1926|major league baseball team pittsburgh is called what|3
1927|what is name islamic counterpart red cross|1
1928|what year were olympic games played where nadia comaneci became popular|4
1929|what is glass made|1
1930|how did lee harvey oswald purchase his rifle|0
1931|how do sing like elvis presley|0
1932|what are biggest indian airports|5
1933|what is folklore story regarding birds nests birds christmas trees|1
1934|what are world 's three largest oceans order size|5
1935|who is pope|3
1936|where internet can find information laundry detergent|5
1937|what do french call la manche|1
1938|what 's easy way count approximate number fish lake|1
1939|how do you clean up cache|0
1940|what was name aristotle onassis 's yacht|1
1941|what is fear being dirty|1
1942|what animal occurs spielberg 's jaws|1
1943|what 's red planet|0
1944|shea gould law firm had office l.a. how many years|4
1945|what 's most common surname america|3
1946|how long does it take typical american eat 23 quarts ice cream|4
1947|what is difference between fruit vegetable|0
1948|what kind tree graces lebanon 's flag|1
1949|what is tumbled marble|0
1950|what are various ways one can measure it user satisfaction level|1
1951|what city is sometimes called athens switzerland|5
1952|where did bocci originate|5
1953|how does light travel through void space if there is no medium it wave or pulse|0
1954|what are valdez principles|0
1955|how can easily remove red wine stains shirts|0
1956|how do you write mla style bibliographies internet source|0
1957|who is imam hussain ben ali whom shia people believe|3
1958|what is origin word assassinate|0
1959|where can find information about bob barr representative georgia|5
1960|what is frequency vhf|4
1961|what are arabic numerals 10|0
1962|what does policeman become canadian edition monopoly|1
1963|how many electoral votes does it take win presidency|4
1964|what is digitalis|0
1965|what kind flowers does detective nero wolfe raise|1
1966|what was paper made late 16th century|1
1967|who was william henry harrison|3
1968|what was outcome 1945 yalta conference|0
1969|what is flintknapping|0
1970|what 's most popular contact lens color|1
1971|what were cities dickens 's tale two cities|5
1972|what causes canker sores mouth|0
1973|what year was movie ten commandments released|4
1974|what is fastest fish world|1
1975|what color are castellated walls kremlin|1
1976|what is celebrated during week february 21 27|1
1977|what is damage business government caused bureaucracy|1
1978|what countries have best math students|5
1979|when was de beers company founded|4
1980|what was california prayer book old west gambler|1
1981|who was first black performer have his own network tv show|3
1982|what 's another name aspartame|1
1983|what did john f. kennedy consider his greatest blunder office|0
1984|what 's abbreviation trinitrotoluene|2
1985|what creature is absolute fastest moving world birds mammals etc.|1
1986|what is date bastille day|4
1987|what is ioc abbreviation|2
1988|what 's proud claim fame young women who formed kappa alpha theta|0
1989|two products use tiger as their symbol|1
1990|where did freidreich wilhelm ludwig leichhardt prussian born explorer go school|5
1991|what color eyes are most sensitive light|1
1992|how much folic acid should expectant mother get daily|4
1993|what company uses unfamiliar faces its celebrity spokespeople promote use its product|3
1994|what disease does katharine hepburn have makes her voice shake|1
1995|what did fcc chairman newton minow declare tv be may 1961|0
1996|how much caffeine is 16 oz cup coffee|4
1997|what is name art growing miniature trees|1
1998|what two countries south america are landlocked|5
1999|what does tiffany mean|0
2000|why do magnets attract|0
2001|how do you address chinese person|0
2002|what is meaning thalassemia|0
2003|what is columbia tristar 's phone number|4
2004|how do impress guy|0
2005|what does method called cold fusion create|1
2006|when did princess diana prince charles get married|4
2007|what determines value pearl|1
2008|country did hitler rule|5
2009|what was name american ship sunk mine havana harbor causing spanish american war|1
2010|who directed wild bunch|3
2011|what are emblazoned jolly roger|1
2012|orange bowl is what city|5
2013|what are alveoli|0
2014|what comedian was born allen stewart konigsberg|3
2015|how many leos have been pope|4
2016|what state was herbert hoover born|5
2017|what tv series featured neal martini drinking st. bernard|1
2018|what developed crack 1835 while tolling death u.s. chief justice john marshall|1
2019|how many fiddlers did old king cole have|4
2020|what poet wrote ... have promises keep miles go before sleep|3
2021|what is ethylene|0
2022|what irwin allen bomb has richard widmark saying he 'll be first officer history get his butt kicked mess bugs|1
2023|what is fear clouds|1
2024|what is music used new vw beetle commercial where car spins changes colors|1
2025|what is fear pregnancy|1
2026|what is population india|4
2027|what is origin word pallbearer|0
2028|how long do flies live|4
2029|why is microsoft 's windows software so successful|0
2030|who runs andy capp 's favorite pub|3
2031|what state produces best lobster eat|5
2032|how many times day does typical person go bathroom|4
2033|what bowl game began as east west contest between michigan stanford 192|1
2034|what islands got their name spanish baja mar meaning shallow water|5
